TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,RF TPR Drop,MLP TPR,MLP TPR Drop,RF TPR SD,RF TPR Drop SD,MLP TPR SD,MLP TPR Drop SD,RF TPR Drop CI Low,RF TPR Drop CI High,MLP TPR Drop CI Low,MLP TPR Drop CI High
dttl,10,Shellcode,378.0,0.3941798941798942,0.0,0.4851851851851852,0.013227513227513244,0.0,0.0,0.049088155255280916,0.004949282257637503,0.0,0.0,0.007083152821009011,0.019371873634017475
dttl,10,Worms,44.0,0.4045454545454545,-0.004545454545454552,0.5045454545454546,0.013636363636363636,0.0406557814090871,0.010163945352271787,0.08099331673275212,0.020327890704543546,-0.017163636363636388,0.008072727272727283,-0.011600000000000001,0.038872727272727274
dttl,15,Analysis,677.0,0.7805022156573117,0.0,0.9453471196454949,0.0011816838995569068,0.01395844567790539,0.0,0.09449431374630404,0.0012358346034476813,0.0,0.0,-0.00035256143363135276,0.0027159292327451666
dttl,15,Backdoor,583.0,0.9077186963979417,0.0,0.9519725557461406,0.0003430531732418585,0.01447342923480552,0.0,0.028804212047592887,0.0007670902152658075,0.0,0.0,-0.0006092624356775407,0.0012953687821612575
dttl,15,DoS,4089.0,0.3424309122034727,-0.00039129371484470933,0.7402298850574713,0.0033749082905355833,0.08051798967187775,0.0002788396735385515,0.2202860843186043,0.002398669569134595,-0.0007374633937327886,-4.51240359566301e-05,0.00039704411515263226,0.006352772465918534
dttl,15,Exploits,11132.0,0.4659899389148401,-0.0008084800574919004,0.6395616241466044,0.006845131153431538,0.06431313920776037,0.0009591338710053229,0.1040566728541362,0.002113800830000032,-0.0019992111321740997,0.0003822510171902988,0.004220921530501754,0.009469340776361322
dttl,15,Fuzzers,6062.0,0.5957109864731112,0.0,0.48053447707027386,0.015473441108545028,0.007126284565251775,0.0,0.04943483825942278,0.0028438616878271135,0.0,0.0,0.011942886525747775,0.01900399569134228
dttl,15,Generic,18871.0,0.984144984367548,-3.1794817444730227e-05,0.7566106724603889,0.0038789677282602963,0.004507288415300896,2.9024564543729183e-05,0.23552317289898594,0.003441665584434091,-6.782779675669293e-05,4.238161867232477e-06,-0.0003937394338322008,0.008151674890352793
dttl,15,Reconnaissance,3496.0,0.36024027459954233,-0.00011441647597254523,0.5052059496567505,0.006864988558352392,0.01227580017403826,0.00015667121210102716,0.06888409941578064,0.002393192295578025,-0.00030891829307684755,8.008534113175712e-05,0.00389392422606278,0.009836052890642004
dttl,15,Shellcode,378.0,0.3941798941798942,0.0,0.4851851851851852,0.013227513227513244,0.0,0.0,0.049088155255280916,0.004949282257637503,0.0,0.0,0.007083152821009011,0.019371873634017475
dttl,15,Worms,44.0,0.4045454545454545,-0.004545454545454552,0.5045454545454546,0.013636363636363636,0.0406557814090871,0.010163945352271787,0.08099331673275212,0.020327890704543546,-0.017163636363636388,0.008072727272727283,-0.011600000000000001,0.038872727272727274
sttl,-15,Analysis,677.0,0.7734121122599704,-0.0070901033973412185,0.9426883308714918,-0.001477104874446078,0.010104952068825432,0.008701138242258872,0.0956098847542861,0.001477104874446078,-0.017892261472838678,0.0037120546781562397,-0.003310878790410445,0.00035666904151828924
sttl,-15,Backdoor,583.0,0.9005145797598628,-0.007204116638078917,0.9488850771869639,-0.002744425385934779,0.013722126929674096,0.0049117739496659955,0.028221206276053377,0.0015341804305315963,-0.013301911795236246,-0.0011063214809215877,-0.004649056603773554,-0.000839794168096004
sttl,-15,DoS,4089.0,0.2938126681340181,-0.04900953778429935,0.7235999021765712,-0.013255074590364402,0.058323912351205,0.02638321176484053,0.23546796023473993,0.01321680141767721,-0.0817633702241739,-0.01625570534442479,-0.029663270183995626,0.0031531210032668226
sttl,-15,Exploits,11132.0,0.39699964067553,-0.069798778296802,0.6215415019762845,-0.011174991016888246,0.025446208080988558,0.0401811786989628,0.10510728281041352,0.003016774493247478,-0.11968230294395518,-0.01991525364964882,-0.01492021078548349,-0.007429771248293002
sttl,-15,Fuzzers,6062.0,0.5925107225338173,-0.003200263939293935,0.4014186737050478,-0.06364236225668096,0.005937946732461077,0.0021464093278553823,0.06193920025612194,0.02509142866579507,-0.005864955869093328,-0.0005355720094945417,-0.09479249126757489,-0.03249223324578704
sttl,-15,Generic,18871.0,0.983074558846908,-0.0011022203380848916,0.5892851465211171,-0.16344655821101162,0.004292398486072927,0.0005638041896357736,0.2312079200969192,0.1875261167541146,-0.0018021634731674448,-0.0004022772030023383,-0.3962536577033485,0.06936054128132527
