Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
2026,sttl,10,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,sttl,10,Worms,44,0.4772727272727273,0.3409090909090909
2026,sttl,15,Analysis,677,0.7828655834564254,0.7754800590841949
2026,sttl,15,Backdoor,583,0.9176672384219554,0.9005145797598628
2026,sttl,15,DoS,4089,0.3533871362191245,0.3409146490584495
2026,sttl,15,Exploits,11132,0.5445562342795545,0.4570607258354294
2026,sttl,15,Fuzzers,6062,0.5966677664137249,0.45941933355328274
2026,sttl,15,Generic,18871,0.988288908907848,0.3935138572412697
2026,sttl,15,Reconnaissance,3496,0.3609839816933638,0.3721395881006865
2026,sttl,15,Shellcode,378,0.3941798941798942,0.3888888888888889
2026,sttl,15,Worms,44,0.4772727272727273,0.3409090909090909
2026,dttl,-15,Analysis,677,0.7858197932053176,0.7754800590841949
2026,dttl,-15,Backdoor,583,0.9193825042881647,0.8799313893653516
2026,dttl,-15,DoS,4089,0.3763756419662509,0.31841526045487895
2026,dttl,-15,Exploits,11132,0.5514732303269853,0.3795364714337046
2026,dttl,-15,Fuzzers,6062,0.5983173870009898,0.36407126360936987
2026,dttl,-15,Generic,18871,0.9884478829950718,0.38810873827566106
2026,dttl,-15,Reconnaissance,3496,0.3641304347826087,0.2877574370709382
2026,dttl,-15,Shellcode,378,0.3941798941798942,0.3201058201058201
2026,dttl,-15,Worms,44,0.4772727272727273,0.22727272727272727
2026,dttl,-10,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,-10,Backdoor,583,0.9193825042881647,0.8833619210977701
2026,dttl,-10,DoS,4089,0.3763756419662509,0.3252629004646613
2026,dttl,-10,Exploits,11132,0.5514732303269853,0.4061264822134387
2026,dttl,-10,Fuzzers,6062,0.5983173870009898,0.3932695480039591
2026,dttl,-10,Generic,18871,0.9884478829950718,0.38985745323512266
2026,dttl,-10,Reconnaissance,3496,0.3641304347826087,0.3100686498855835
2026,dttl,-10,Shellcode,378,0.3941798941798942,0.3439153439153439
2026,dttl,-10,Worms,44,0.4772727272727273,0.25
2026,dttl,-5,Analysis,677,0.7858197932053176,0.7769571639586411
2026,dttl,-5,Backdoor,583,0.9193825042881647,0.8936535162950258
