Seed,TTL Feature,Perturbation (%),RF TPR,RF TPR Drop,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Drop,MLP Evasion Rate,MLP AUROC,MLP AUPRC
123,dttl,2,0.7281170034412777,-0.00044118944674842453,0.27188299655872233,0.8209276887515771,0.8326074568182009,0.7212344480720021,0.005911938586429022,0.2787655519279979,0.8600051046811392,0.8880169922074985
123,dttl,5,0.7281170034412777,-0.00044118944674842453,0.27188299655872233,0.8209276887515771,0.8326074568182009,0.7212344480720021,0.005911938586429022,0.2787655519279979,0.8600071451823306,0.88801921100258
123,dttl,10,0.7281170034412777,-0.00044118944674842453,0.27188299655872233,0.8209276887515771,0.8326074568182009,0.7212344480720021,0.005911938586429022,0.2787655519279979,0.860002998597733,0.8880192746748532
123,dttl,15,0.7281170034412777,-0.00044118944674842453,0.27188299655872233,0.8209276887515771,0.8326074568182009,0.7212344480720021,0.005911938586429022,0.2787655519279979,0.8600019403392627,0.888020329292883
2026,sttl,-15,0.6814612194476308,-0.04339098208770842,0.31853878055236917,0.8153215659959792,0.8205935661176698,0.4102179475866937,-0.012353304508956164,0.5897820524133063,0.7354540170299126,0.7829550181796788
2026,sttl,-10,0.6814612194476308,-0.04339098208770842,0.31853878055236917,0.8153215659959792,0.8205935661176698,0.41390187946704315,-0.00866937262860673,0.5860981205329568,0.7389862825854179,0.7868890408759932
2026,sttl,-5,0.6814612194476308,-0.04339098208770842,0.31853878055236917,0.8153215659959792,0.8205935661176698,0.4176299302920674,-0.004941321803582477,0.5823700697079326,0.7420773196429467,0.7900364143709402
2026,sttl,-2,0.6814612194476308,-0.04339098208770842,0.31853878055236917,0.8153227026550065,0.8205978350541026,0.4204094238065825,-0.002161828289067358,0.5795905761934175,0.7440399693790676,0.7919379473535877
2026,sttl,0,0.7248522015353392,0.0,0.2751477984646607,0.8168408528311246,0.8270938810303425,0.4225712520956499,0.0,0.5774287479043502,0.7452297482119905,0.7930631484146181
2026,sttl,2,0.7161166504897203,-0.008735551045618961,0.2838833495102797,0.8161635012317533,0.8258149979338125,0.4231889173210977,0.0006176652254478165,0.5768110826789024,0.7454212327787065,0.7932558016669888
2026,sttl,5,0.7161166504897203,-0.008735551045618961,0.2838833495102797,0.8161264121043306,0.8257952343963306,0.42334333362745963,0.0007720815318097429,0.5766566663725403,0.745349366296942,0.793202469892614
