Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR,RF Clean TPR,MLP Clean TPR,RF TPR Drop,MLP TPR Drop
42,dttl,10,DoS,4089,0.27855221325507457,0.8278307654683297,0.27879677182685253,0.8256297383223282,-0.00024455857177796414,0.002201027146001455
42,dttl,10,Exploits,11132,0.4152892561983471,0.6520840819259791,0.41699604743083,0.647502694933525,-0.001706791232482907,0.0045813869924541395
42,dttl,10,Fuzzers,6062,0.592708677004289,0.5161662817551963,0.592708677004289,0.49934015176509405,0.0,0.016826129990102245
42,dttl,10,Generic,18871,0.9771077314397754,0.6689629590376769,0.9771607228021832,0.6614381855757512,-5.299136240788371e-05,0.0075247734619257045
42,dttl,10,Reconnaissance,3496,0.3501144164759725,0.5380434782608695,0.3504004576659039,0.5334668192219679,-0.00028604118993136307,0.004576659038901587
42,dttl,10,Shellcode,378,0.3941798941798942,0.5264550264550265,0.3941798941798942,0.5105820105820106,0.0,0.015873015873015928
42,dttl,10,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
42,dttl,15,Analysis,677,0.7769571639586411,0.9926144756277696,0.7769571639586411,0.9926144756277696,0.0,0.0
42,dttl,15,Backdoor,583,0.902229845626072,0.9656946826758147,0.902229845626072,0.9656946826758147,0.0,0.0
42,dttl,15,DoS,4089,0.27855221325507457,0.8278307654683297,0.27879677182685253,0.8256297383223282,-0.00024455857177796414,0.002201027146001455
42,dttl,15,Exploits,11132,0.4152892561983471,0.6520840819259791,0.41699604743083,0.647502694933525,-0.001706791232482907,0.0045813869924541395
42,dttl,15,Fuzzers,6062,0.592708677004289,0.5161662817551963,0.592708677004289,0.49934015176509405,0.0,0.016826129990102245
42,dttl,15,Generic,18871,0.9771077314397754,0.6689629590376769,0.9771607228021832,0.6614381855757512,-5.299136240788371e-05,0.0075247734619257045
42,dttl,15,Reconnaissance,3496,0.3501144164759725,0.5380434782608695,0.3504004576659039,0.5334668192219679,-0.00028604118993136307,0.004576659038901587
42,dttl,15,Shellcode,378,0.3941798941798942,0.5264550264550265,0.3941798941798942,0.5105820105820106,0.0,0.015873015873015928
42,dttl,15,Worms,44,0.38636363636363635,0.4772727272727273,0.38636363636363635,0.4772727272727273,0.0,0.0
123,sttl,-15,Analysis,677,0.7769571639586411,0.9940915805022157,0.7991137370753324,0.9940915805022157,-0.02215657311669128,0.0
